Crop,Nitrogen (N),Phosphorus (P),Potassium (K),pH,Rainfall (mm),Temperature (°C),Humidity (%),Yield (t/ha)
Jau,151.52,28.87,25.38,7.45,771.89,19.27,64.54,2.58
Jau,139.74,77.17,25.28,5.22,848.05,23.52,66.24,3.07
Jau,47.11,80.08,74.37,4.8,1100.64,29.19,56.01,3.07
Jau,116.85,77.97,24.4,6.46,820.06,19.31,56.53,3.17
Jau,137.83,26.26,34.78,6.27,1070.32,19.96,69.75,2.8
Jau,135.39,89.49,53.77,4.63,464.13,28.64,61.52,3.41
Jau,43.39,76.67,23.03,5.79,409.22,18.38,66.62,3.23
Jau,173.43,26.88,98.36,6.66,868.67,19.16,54.76,2.62
Jau,124.68,70.35,118.84,5.75,697.23,29.02,68.71,2.93
Jau,62.3,58.2,34.79,7.17,803.22,22.06,57.3,2.7
Jau,147.52,30.54,102.44,5.66,832.01,22.02,63.06,3.13
Jau,43.68,61.94,20.28,5.55,703.56,18.57,60.87,3.13
Jau,90.61,56.11,73.0,6.12,596.49,22.83,58.54,2.98
Jau,85.03,66.29,56.62,7.79,519.42,21.77,55.7,3.11
Jau,140.0,63.75,25.3,5.33,1028.11,23.25,51.05,2.67
Jau,42.38,63.71,83.62,8.25,846.61,26.65,69.66,3.54
Jau,77.49,23.29,32.24,6.07,1139.71,20.59,51.61,3.28
Jau,127.58,38.11,105.69,5.21,844.63,25.41,50.12,3.06
Jau,112.19,46.47,96.39,6.61,1158.76,24.98,73.27,3.43
Jau,126.67,40.66,37.09,6.79,523.89,18.92,67.42,3.3
Jau,62.2,36.99,61.98,7.37,935.6,28.23,60.19,2.85
Jau,148.96,25.75,107.34,7.79,822.66,20.99,57.74,3.58
Jau,89.65,72.52,95.77,7.97,633.3,31.75,59.75,3.51
Jau,135.65,40.57,115.92,8.15,583.26,27.46,58.5,3.29
Jau,97.57,39.59,49.06,6.8,418.61,19.18,59.43,3.35
Jau,91.57,58.93,70.1,5.21,1134.44,28.81,68.27,2.85
Jau,105.2,78.22,26.15,7.25,1185.84,22.64,74.31,3.67
Jau,168.31,34.63,96.5,5.92,446.02,29.94,55.97,3.31
Jau,139.24,47.63,42.19,5.07,1062.82,21.61,57.88,3.31
Jau,150.23,58.11,80.65,5.29,879.88,25.37,68.03,3.29
Jau,70.35,48.35,52.3,5.4,874.65,26.83,54.95,3.66
Jau,125.66,55.34,95.84,5.81,978.69,31.39,72.95,2.78
Jau,97.01,58.68,106.4,8.07,711.47,24.46,62.52,3.4
Jau,54.94,74.5,31.2,5.01,1056.28,31.96,50.73,3.21
Jau,92.82,53.06,90.28,5.56,877.76,30.94,56.11,3.01
Jau,40.43,63.47,41.37,5.97,495.76,28.15,60.39,4.07
Jau,83.57,24.96,32.32,6.6,1033.67,19.87,51.45,3.24
Jau,106.83,78.66,78.66,7.53,831.38,21.16,59.93,2.94
Jau,171.82,62.46,70.59,4.79,725.82,20.39,68.07,2.92
Jau,137.36,80.01,49.39,6.58,734.62,19.29,73.34,3.29
Jau,128.27,74.46,53.75,6.47,725.8,28.46,70.74,2.93
Jau,56.31,29.02,98.03,4.57,1032.59,18.65,67.34,3.41
Jau,112.84,34.22,59.06,8.04,433.73,20.7,74.76,3.75
Jau,84.85,72.16,29.99,5.2,421.82,20.16,61.39,3.54
Jau,154.44,55.64,38.34,6.79,574.88,30.56,58.89,2.58
Jau,126.97,88.87,103.14,5.66,739.58,25.86,72.56,3.26
Jau,117.63,75.57,118.51,7.62,1170.5,19.62,57.6,3.07
Jau,114.01,48.52,41.2,7.08,1090.27,30.78,68.42,3.4
Jau,91.88,68.38,21.81,7.79,891.61,19.74,52.56,2.19
Jau,120.37,85.45,91.47,6.31,864.67,18.91,57.23,3.15
Jau,123.7,60.1,114.26,6.18,604.2,29.3,60.07,2.79
Jau,129.84,73.16,94.6,7.2,1095.66,27.19,70.76,2.79
Jau,113.11,30.16,98.35,6.82,1008.87,29.96,52.24,2.93
Jau,148.12,82.11,76.95,7.67,517.55,25.91,57.36,2.89
Jau,55.17,78.74,100.71,5.39,1085.47,31.35,72.26,3.31
Jau,47.67,63.56,22.3,6.73,743.9,25.89,74.02,2.66
Jau,98.48,82.41,84.19,5.2,524.0,26.96,61.43,3.29
Jau,85.61,66.38,110.79,7.1,1195.75,21.19,65.17,3.6
Jau,118.56,21.22,101.88,5.64,1118.82,25.28,66.43,3.49
Jau,166.31,59.64,63.41,4.62,725.98,27.29,74.54,3.21
Jau,146.83,58.12,34.66,7.14,1043.67,28.98,60.16,3.54
Jau,169.28,35.16,76.18,7.73,858.33,22.83,65.76,3.42
Jau,147.31,76.51,51.37,5.85,478.6,29.63,72.06,3.34
Jau,60.85,61.13,97.31,7.9,1074.65,28.88,59.97,3.13
Jau,156.55,31.5,95.23,4.5,617.52,30.59,71.37,3.01
Jau,179.78,28.17,117.97,6.05,880.31,30.7,59.73,2.87
Jau,125.66,77.65,102.33,4.6,561.65,19.14,54.83,3.49
Jau,128.18,25.12,93.77,4.72,444.79,27.08,52.0,3.1
Jau,67.43,60.77,64.33,6.14,726.23,20.48,65.74,3.52
Jau,109.34,50.99,48.15,5.15,576.41,21.92,50.42,3.61
Jau,96.45,80.41,87.14,6.89,971.45,24.29,53.49,2.97
Jau,155.64,84.6,112.31,8.43,473.66,30.21,68.12,3.54
Jau,148.88,21.59,113.66,7.2,852.34,31.05,51.67,3.13
Jau,58.57,85.2,55.79,8.22,558.75,24.35,52.23,4.05
Jau,105.41,84.9,66.43,5.32,562.09,30.82,60.03,3.9
Jau,93.18,35.32,62.19,7.8,942.43,19.1,54.08,3.18
Jau,116.46,88.35,57.6,5.26,1183.64,22.45,61.69,2.56
Jau,141.64,31.81,77.88,4.69,836.15,22.3,64.81,3.42
Jau,154.44,50.18,48.48,4.71,1091.3,22.12,51.08,2.74
Jau,169.88,83.35,94.09,6.5,1065.6,23.58,63.35,3.34
Jau,156.75,64.73,107.82,8.08,810.71,30.81,51.88,2.69
Jau,176.31,32.01,74.61,7.44,481.87,20.71,62.99,2.88
Jau,72.74,49.82,102.63,8.0,793.04,28.24,65.16,2.57
Jau,84.58,22.04,42.89,7.5,1078.46,20.48,67.04,3.04
Jau,122.41,70.34,62.87,7.22,1167.81,18.32,69.64,3.55
Jau,73.03,48.36,97.99,5.09,960.09,23.64,73.45,3.19
Jau,115.69,25.9,104.07,5.22,1033.92,23.11,50.06,3.0
Jau,132.34,21.04,53.51,8.46,527.37,31.89,66.97,2.99
Jau,61.05,25.1,85.13,8.25,1149.65,27.61,60.12,3.57
Jau,123.18,22.76,79.06,7.59,661.91,23.57,61.42,3.38
Jau,80.43,58.27,21.62,5.13,614.81,24.02,65.22,3.27
Jau,142.15,66.36,74.23,8.4,664.71,18.47,65.13,3.14
Jau,80.86,29.1,108.25,5.85,878.58,27.68,62.68,3.16
Jau,103.26,58.2,65.79,7.74,903.61,27.06,57.09,2.82
Jau,89.97,32.53,109.52,6.11,1130.33,27.73,61.04,3.04
Jau,126.18,39.24,98.02,8.35,1015.29,27.19,50.66,3.33
Jau,109.29,57.25,58.45,5.1,450.78,26.79,74.33,2.69
Jau,156.77,42.41,77.68,6.48,804.64,28.06,53.85,2.7
Jau,135.42,20.05,84.35,7.23,999.81,29.07,63.3,3.28
Jau,161.49,72.89,59.02,7.41,956.4,30.36,66.59,2.9
Jau,134.22,31.75,109.98,5.2,665.5,24.39,50.96,3.19
Jau,104.5,47.58,34.04,7.81,614.66,20.56,63.09,2.57
Jau,173.23,67.85,93.94,7.89,889.11,20.6,56.17,3.35
Jau,166.21,60.08,30.31,6.12,577.76,31.17,63.65,2.62
Jau,66.12,73.3,92.24,8.23,608.58,27.58,72.9,3.54
Jau,172.45,35.52,89.46,5.87,711.26,31.56,54.3,3.89
Jau,160.46,85.77,30.62,7.34,886.35,27.61,52.56,3.15
Jau,172.94,59.11,21.56,5.78,916.66,25.27,73.91,3.25
Jau,71.39,33.59,82.81,4.98,790.21,27.52,70.62,3.03
Jau,107.37,53.9,24.69,6.59,861.57,30.97,52.83,2.86
Jau,45.28,78.7,41.02,5.73,963.75,26.15,56.73,3.04
Jau,142.05,45.63,108.61,7.77,661.41,22.59,52.68,3.51
Jau,73.34,49.84,105.16,4.68,780.68,29.84,63.11,3.44
Jau,55.27,86.53,99.25,4.64,1077.28,27.76,66.08,3.14
Jau,172.72,28.54,79.17,6.39,683.09,24.39,65.39,3.68
Jau,58.17,79.13,72.68,7.93,505.31,24.69,56.79,3.39
Jau,86.33,76.64,100.94,6.21,678.65,20.28,53.42,3.46
Jau,102.97,50.95,49.87,5.17,1018.34,25.09,69.81,3.3
Jau,143.71,66.85,74.13,5.86,794.17,22.73,58.43,2.5
Jau,125.91,32.44,32.89,8.33,1037.28,22.44,67.82,2.76
Jau,99.94,43.26,33.61,7.9,1128.39,31.55,70.31,3.27
Jau,130.63,36.25,115.85,5.02,1041.3,23.22,55.74,3.14
Jau,151.9,80.79,26.92,4.52,1101.9,30.36,70.68,3.16
Jau,65.5,27.03,50.33,7.9,563.27,26.86,63.89,3.27
Jau,179.31,54.34,69.96,7.9,819.83,23.36,64.66,3.43
Jau,172.92,65.02,34.97,4.53,759.2,26.92,61.03,3.19
Jau,63.48,45.82,40.92,8.33,693.04,25.21,68.47,2.63
Jau,143.19,33.33,26.29,5.3,538.3,25.61,70.41,3.11
Jau,82.68,26.48,57.72,4.53,514.57,29.78,50.18,3.4
Jau,104.85,21.7,36.51,6.39,609.91,20.24,67.94,3.33
Jau,150.17,82.99,68.01,5.78,814.95,19.22,61.4,3.19
Jau,160.78,85.95,52.54,6.97,902.19,24.77,59.47,2.9
Jau,103.5,82.98,75.38,7.42,808.74,28.86,66.74,2.88
Jau,105.63,24.43,88.75,5.29,545.32,24.15,53.02,3.45
Jau,131.76,87.66,115.67,8.2,1029.77,28.2,73.14,3.11
Jau,143.74,81.71,115.53,7.43,861.32,25.94,65.37,3.38
Jau,129.65,36.54,75.07,5.45,1039.52,27.2,64.63,3.43
Jau,165.23,34.22,75.59,5.73,961.98,21.42,64.44,3.6
Jau,143.2,81.78,41.89,7.73,734.3,24.85,66.12,3.01
Jau,153.51,74.25,81.12,7.4,856.83,21.65,56.35,3.94
Jau,160.49,50.72,38.68,5.2,544.37,24.26,70.62,3.3
Jau,113.78,54.84,31.25,6.46,597.19,30.62,61.71,3.25
Jau,118.16,84.05,44.3,5.1,1116.31,22.58,64.49,3.4
Jau,150.68,80.41,74.8,5.19,478.85,29.11,59.93,2.71
Jau,124.92,85.78,108.48,6.57,1106.7,21.71,63.86,2.79
Jau,138.69,46.05,71.43,5.24,679.45,20.95,68.5,3.18
Jau,157.3,72.54,119.75,7.57,909.94,23.52,51.52,3.28
Jau,154.05,79.86,77.39,4.94,641.68,30.92,66.14,3.45
Jau,69.41,70.96,109.85,7.97,453.13,29.69,54.08,3.38
Jau,122.16,44.38,22.4,5.71,861.75,28.91,68.24,3.23
Jau,67.0,62.85,39.63,4.52,782.37,27.15,68.37,2.89
Jau,175.44,30.16,24.84,5.1,568.33,26.31,52.32,3.38
Jau,136.15,69.03,66.03,6.37,521.43,20.9,52.95,3.14
Jau,55.78,48.19,32.95,5.22,884.67,28.44,52.23,3.11
Jau,141.22,66.32,112.55,7.54,496.77,28.1,61.16,3.39
Jau,120.06,50.2,53.73,6.64,898.38,28.22,50.93,3.11
Jau,153.58,74.37,30.36,7.56,928.27,24.37,71.92,3.17
Jau,127.55,29.84,53.72,4.53,627.56,29.06,67.08,3.34
Jau,80.14,29.02,104.0,6.87,931.94,31.75,53.75,3.11
Jau,49.24,71.95,85.52,7.72,1174.14,28.1,70.99,2.91
Jau,57.95,68.62,69.66,4.57,571.69,27.34,64.91,3.89
Jau,90.26,42.86,56.67,5.73,494.92,21.86,60.6,3.68
Jau,171.81,82.17,97.85,4.6,1139.22,20.97,50.68,3.94
Jau,72.31,54.64,26.03,6.9,737.97,23.07,54.05,3.15
Jau,100.37,80.34,22.24,5.41,449.21,28.06,74.1,3.38
Jau,76.55,80.48,102.78,7.24,920.08,30.62,58.56,3.39
Jau,79.96,37.48,32.47,6.96,913.63,21.11,67.76,3.47
Jau,91.6,82.51,50.83,4.76,797.11,30.8,66.0,3.02
Jau,92.08,49.76,37.25,5.48,754.25,27.48,74.95,3.05
Jau,55.48,58.85,96.92,7.69,1069.42,21.52,60.85,3.22
Jau,167.61,75.48,75.38,4.9,811.35,18.54,50.67,2.76
Jau,116.21,56.18,101.23,7.18,471.98,20.27,62.91,3.52
Jau,140.77,88.19,90.43,6.35,758.21,20.07,50.76,3.23
Jau,72.09,25.58,24.78,7.98,762.37,21.45,61.55,3.29
Jau,82.03,76.07,37.5,7.32,688.9,25.43,56.89,3.61
Jau,89.75,49.81,62.95,5.52,545.38,25.44,63.2,3.26
Jau,67.86,66.97,107.22,5.3,423.75,19.69,50.14,2.71
Jau,101.25,47.55,102.32,4.82,1135.56,24.15,56.36,3.54
Jau,137.93,53.25,23.21,8.42,868.12,25.34,70.77,2.92
Jau,145.71,75.66,25.06,6.85,648.48,22.62,64.73,3.39
Jau,42.75,65.86,78.56,6.68,933.23,19.74,56.31,3.31
Jau,128.35,38.87,20.3,5.5,971.92,28.6,71.45,3.16
Jowar,45.92,62.74,70.18,7.73,798.74,28.79,55.69,2.36
Jowar,124.86,89.28,83.89,7.09,710.86,39.15,47.9,2.95
Jowar,153.91,46.76,75.65,5.67,399.33,35.08,53.7,2.29
Jowar,46.87,53.59,46.62,5.43,349.79,30.6,45.73,2.63
Jowar,143.18,87.69,86.97,6.88,387.1,31.87,43.66,2.02
Jowar,139.61,83.77,36.51,6.22,797.84,33.35,40.29,2.23
Jowar,105.42,56.09,101.98,6.66,794.02,35.92,40.53,2.55
Jowar,43.84,76.23,82.78,4.88,327.46,29.9,53.31,2.6
Jowar,151.89,36.46,88.43,7.5,765.44,39.24,58.87,2.2
Jowar,60.52,27.84,117.6,8.35,742.48,37.36,48.97,2.35
Jowar,175.04,84.95,70.82,7.76,665.48,34.45,52.52,2.89
Jowar,59.35,73.05,65.13,8.02,764.04,38.73,46.08,1.97
Jowar,119.95,50.82,70.68,6.25,478.03,34.16,58.54,2.65
Jowar,106.4,53.13,29.37,7.87,705.94,31.11,40.94,2.51
Jowar,123.4,26.41,84.8,4.84,721.06,32.56,41.7,2.79
Jowar,123.99,49.64,110.38,5.1,637.17,35.09,55.83,2.94
Jowar,133.84,79.36,86.46,4.7,663.1,32.71,58.87,2.73
Jowar,150.62,49.65,55.46,4.68,656.69,31.1,55.81,2.56
Jowar,79.78,82.56,89.09,6.73,749.79,35.71,43.54,2.38
Jowar,160.26,66.1,84.12,5.23,353.5,39.17,51.62,2.71
Jowar,138.28,39.81,80.98,6.03,620.0,38.62,58.52,2.5
Jowar,83.74,24.53,21.16,6.74,605.9,28.31,49.06,2.7
Jowar,89.78,73.2,102.55,6.13,351.1,29.71,59.62,2.38
Jowar,71.08,57.42,73.27,6.51,551.27,34.89,55.79,2.47
Jowar,76.19,53.57,119.06,7.51,607.04,38.56,42.75,2.19
Jowar,81.99,35.01,102.97,6.85,512.46,35.48,41.27,2.61
Jowar,145.77,61.98,101.49,8.49,678.34,36.7,47.15,2.78
Jowar,165.22,43.92,118.1,4.68,353.98,30.56,54.39,2.22
Jowar,86.54,78.1,22.19,5.16,427.26,34.68,41.89,2.67
Jowar,53.63,42.25,23.16,5.27,451.04,29.74,42.49,2.39
Jowar,96.29,24.42,95.56,6.44,444.58,28.34,51.34,2.85
Jowar,115.35,72.71,83.05,6.69,686.2,29.52,45.17,2.28
Jowar,104.64,58.58,29.69,4.82,778.21,36.75,57.33,2.46
Jowar,127.16,84.34,82.66,8.29,797.64,37.45,56.79,2.8
Jowar,152.67,37.43,117.53,6.08,572.96,35.4,50.77,2.3
Jowar,164.95,26.32,54.03,5.54,765.15,32.57,46.25,2.32
Jowar,125.92,70.57,87.95,4.73,456.78,35.92,42.21,2.39
Jowar,137.27,44.59,27.04,4.81,480.66,36.36,47.63,2.24
Jowar,115.29,73.99,100.75,5.33,641.38,28.74,56.65,2.4
Jowar,76.39,46.07,25.58,6.44,654.68,29.51,50.29,2.74
Jowar,82.16,29.51,73.04,6.82,324.58,35.13,53.03,2.59
Jowar,149.97,71.84,75.68,6.24,488.17,32.5,57.3,2.69
Jowar,76.7,21.0,99.05,5.74,548.75,28.6,55.78,2.29
Jowar,119.97,74.78,50.85,5.78,678.13,32.08,57.85,2.61
Jowar,44.04,29.16,105.7,5.98,410.37,37.38,56.11,2.65
Jowar,98.62,69.04,25.42,6.09,691.64,38.25,43.69,2.01
Jowar,47.52,68.64,87.53,5.14,467.0,35.3,44.58,2.56
Jowar,99.95,81.69,89.39,6.4,447.06,39.56,55.96,2.64
Jowar,94.62,27.26,37.69,7.34,500.62,37.17,52.27,2.7
Jowar,114.68,56.19,58.82,4.74,786.21,34.04,59.13,2.64
Jowar,106.44,56.14,59.61,7.34,680.25,39.75,40.3,2.63
Jowar,171.85,51.09,98.56,4.55,737.31,30.07,51.91,2.49
Jowar,97.2,38.42,36.41,7.75,700.96,33.35,59.88,2.86
Jowar,72.03,73.18,67.87,5.41,759.76,28.64,50.58,2.69
Jowar,145.36,23.37,75.41,8.39,472.86,35.06,47.72,2.34
Jowar,57.28,59.02,95.12,6.51,432.36,34.17,46.2,2.32
Jowar,173.0,23.3,87.58,6.22,739.32,32.34,55.05,2.42
Jowar,67.55,81.6,31.14,8.28,626.1,32.06,42.91,2.72
Jowar,147.77,63.03,93.65,8.41,377.08,36.56,48.95,2.36
Jowar,148.3,73.49,44.29,5.67,707.8,29.02,48.77,2.18
Jowar,44.3,80.73,75.51,6.02,620.76,36.91,49.79,2.55
Jowar,48.51,79.28,80.67,6.05,537.37,36.57,53.1,2.59
Jowar,128.95,22.32,80.89,7.67,423.47,28.5,46.58,2.55
Jowar,72.12,79.34,108.11,4.55,551.52,29.74,52.48,2.9
Jowar,143.64,56.03,91.52,6.09,728.92,38.36,55.76,2.3
Jowar,64.11,37.79,111.68,8.32,752.5,38.11,46.91,2.53
Jowar,69.44,57.46,56.16,4.76,430.83,33.13,56.52,2.36
Jowar,136.07,72.9,100.05,7.18,652.29,34.63,40.31,2.39
Jowar,103.91,55.16,86.11,8.0,420.46,35.15,42.94,2.46
Jowar,112.03,30.85,108.67,7.26,583.95,33.11,51.73,2.05
Jowar,121.03,29.3,67.93,5.6,330.46,39.92,46.29,2.37
Jowar,142.05,61.88,94.77,6.03,488.42,28.44,41.79,2.54
Jowar,156.43,65.41,79.24,5.15,426.32,31.21,58.09,2.53
Jowar,132.33,55.0,59.19,7.77,351.6,39.71,59.71,2.82
Jowar,112.39,56.03,24.94,6.81,771.85,34.8,59.67,2.63
Jowar,72.2,82.23,21.63,7.27,360.56,37.79,40.3,2.43
Jowar,167.41,55.55,83.14,7.19,492.97,33.21,42.29,2.08
Jowar,51.71,40.68,57.27,7.69,540.42,32.63,40.22,2.34
Jowar,117.42,85.0,84.99,7.06,444.38,39.01,44.7,2.76
Jowar,145.15,79.94,84.15,5.28,323.68,33.79,48.42,2.65
Jowar,156.49,75.31,23.49,5.29,454.67,38.4,51.77,2.51
Jowar,91.81,77.09,114.35,8.31,717.65,32.85,43.65,2.45
Jowar,42.74,68.23,63.59,8.39,594.16,33.25,41.49,2.37
Jowar,168.26,40.94,28.65,4.86,346.01,28.16,52.95,2.27
Jowar,79.51,76.54,74.17,4.9,720.36,39.92,44.5,2.07
Jowar,113.19,21.05,97.3,7.54,595.74,37.27,49.39,2.13
Jowar,59.72,57.4,76.75,6.99,514.95,34.58,45.88,2.68
Jowar,118.12,56.4,83.53,4.97,692.46,34.34,50.8,2.79
Jowar,149.42,25.09,23.06,7.71,564.57,36.19,52.82,2.29
Jowar,43.27,61.63,32.65,8.27,721.95,34.83,57.94,2.6
Jowar,90.19,79.45,83.11,6.81,366.35,38.57,55.28,2.58
Jowar,40.82,86.05,109.73,5.97,307.35,39.73,51.07,2.36
Jowar,86.99,42.0,115.73,6.34,369.6,28.87,49.22,2.12
Jowar,124.3,74.88,29.66,7.19,635.48,29.66,45.94,2.6
Jowar,125.2,61.46,114.0,6.24,717.39,34.62,45.61,2.56
Jowar,102.9,76.78,108.16,8.15,771.51,32.01,51.75,2.62
Jowar,58.46,77.63,54.66,5.67,432.17,36.78,45.33,2.03
Jowar,158.29,29.91,104.46,5.97,459.48,37.35,42.53,2.54
Jowar,142.8,24.44,59.93,8.2,715.25,36.52,40.36,2.71
Jowar,59.04,79.33,67.0,5.21,775.32,33.51,44.23,2.35
Jowar,140.96,75.13,20.51,4.86,381.48,34.72,46.56,1.9
Jowar,140.39,36.83,33.62,6.18,708.41,30.19,53.78,2.42
Jowar,151.28,46.12,68.15,4.74,494.74,39.21,58.48,2.31
Jowar,120.41,88.23,81.04,7.88,649.01,39.39,41.83,2.76
Jowar,52.06,33.02,28.09,8.02,742.95,29.31,56.33,2.49
Jowar,119.73,33.97,23.28,4.78,708.47,37.53,41.06,2.32
Jowar,173.98,37.95,90.07,8.45,515.09,31.77,40.29,2.75
Jowar,81.02,76.75,34.08,6.77,692.6,34.74,46.54,2.65
Jowar,161.13,48.85,33.15,5.53,534.16,35.12,51.46,2.91
Jowar,151.02,56.03,34.13,6.4,506.71,36.79,59.19,2.39
Jowar,166.24,70.77,27.07,5.53,702.39,37.73,41.65,2.72
Jowar,65.64,52.78,49.68,8.38,580.74,35.33,44.44,2.57
Jowar,113.36,81.69,44.2,7.99,691.84,36.74,48.76,2.68
Jowar,45.45,50.05,39.38,6.69,502.82,31.28,50.91,2.75
Jowar,170.33,55.24,74.72,8.37,794.86,39.96,57.82,2.43
Jowar,158.97,48.41,33.79,4.69,760.57,37.57,52.61,2.66
Jowar,78.74,23.51,56.01,6.98,467.0,33.35,48.89,2.36
Jowar,155.45,61.58,74.08,5.83,498.53,30.47,43.66,2.69
Jowar,137.98,71.14,86.61,6.9,682.83,29.29,49.87,2.59
Jowar,171.8,26.63,118.63,4.58,341.67,29.2,55.58,2.43
Jowar,135.48,23.78,90.27,5.17,464.27,31.54,58.85,2.89
Jowar,170.5,68.9,28.32,5.21,485.47,30.81,56.35,2.56
Jowar,101.28,41.96,99.39,6.76,300.33,28.99,42.7,2.56
Jowar,168.66,25.53,31.1,5.36,378.95,33.01,56.25,2.44
Jowar,175.33,65.83,88.64,5.54,659.74,30.2,57.57,2.27
Jowar,108.92,73.55,90.42,7.88,316.0,31.39,59.12,2.24
Jowar,139.16,61.29,56.62,4.61,531.85,34.61,58.62,2.55
Jowar,174.03,63.54,116.98,7.59,332.88,28.12,47.85,2.91
Jowar,40.42,44.37,113.77,8.01,306.1,36.28,51.58,2.23
Jowar,115.99,63.88,110.99,8.32,649.36,37.12,41.29,2.63
Jowar,164.87,87.19,55.92,7.54,795.24,32.04,52.31,2.51
Jowar,49.89,24.15,116.38,6.78,583.54,29.76,47.23,2.74
Jowar,99.99,83.98,102.42,4.74,588.8,35.73,47.96,2.12
Jowar,73.83,53.53,46.71,7.22,538.75,28.53,53.91,2.39
Jowar,119.84,40.23,78.11,8.35,658.33,39.48,53.24,2.37
Jowar,158.73,31.0,52.81,5.37,301.39,33.89,47.54,2.63
Jowar,69.75,46.56,45.51,8.1,616.44,37.94,41.46,2.55
Jowar,66.15,86.29,90.25,5.1,568.62,30.21,41.22,2.61
Jowar,49.76,71.61,23.19,4.66,694.64,31.69,57.12,2.71
Jowar,147.0,57.87,111.35,6.54,638.38,32.27,40.11,2.34
Jowar,52.37,47.48,41.99,5.04,421.49,29.82,58.06,2.68
Jowar,103.92,72.8,119.6,6.73,639.17,39.49,58.47,2.41
Jowar,160.5,26.14,79.34,6.87,791.01,33.41,57.14,2.37
Jowar,133.95,81.76,99.73,8.04,323.21,39.44,44.81,2.57
Jowar,50.88,52.34,66.34,4.6,370.73,32.44,50.41,2.49
Jowar,62.69,69.96,75.07,5.22,522.46,29.09,46.89,2.49
Jowar,151.34,70.79,37.09,5.91,515.72,39.49,41.98,2.87
Jowar,136.1,59.59,63.37,7.59,561.13,38.92,54.46,2.27
Jowar,117.03,25.71,78.85,5.75,551.57,30.54,47.43,2.5
Jowar,117.84,23.11,25.03,8.47,535.22,36.45,41.88,2.12
Jowar,153.16,62.27,41.59,6.69,469.83,30.84,50.7,2.08
Jowar,152.52,39.33,116.14,5.74,554.26,34.98,57.98,2.92
Jowar,63.54,72.78,36.25,4.72,326.71,29.15,50.28,2.17
Jowar,72.01,66.37,35.55,5.51,568.33,35.5,56.77,2.39
Jowar,69.6,29.22,94.93,6.6,438.71,33.85,45.58,2.7
Jowar,67.48,20.71,32.65,7.01,776.74,32.32,52.05,2.67
Jowar,47.1,85.6,89.59,5.38,306.52,28.43,44.16,2.77
Jowar,162.61,37.06,91.79,4.67,549.01,38.21,42.54,2.79
Jowar,86.97,23.29,45.35,5.29,688.42,29.57,41.87,2.31
Jowar,155.94,51.98,55.59,8.11,472.22,37.52,44.62,2.08
Jowar,49.95,21.6,36.19,6.89,347.98,34.45,42.64,2.05
Jowar,92.94,62.57,106.06,5.14,642.89,36.91,49.39,2.76
Jowar,149.92,38.46,104.21,7.47,674.54,34.37,42.39,2.54
Jowar,152.2,34.21,31.85,6.45,493.55,29.95,51.35,2.42
Jowar,91.6,78.89,104.14,8.13,550.54,32.4,51.14,2.09
Jowar,170.18,25.89,71.21,6.07,745.46,32.6,54.01,2.6
Jowar,146.83,37.83,85.6,6.26,480.84,31.64,45.74,1.87
Jowar,71.46,49.18,20.85,7.09,642.43,35.26,43.77,2.79
Jowar,63.65,29.43,108.21,4.97,488.46,33.44,42.59,2.46
Jowar,156.02,44.05,85.45,7.28,408.22,32.93,42.75,2.64
Jowar,159.02,64.54,115.5,6.64,433.28,29.82,53.58,1.77
Jowar,170.24,30.33,44.01,5.74,775.19,35.41,54.8,2.53
Jowar,135.58,38.46,40.1,5.86,710.33,29.02,52.02,2.51
Jowar,176.38,33.07,56.56,4.73,782.85,39.87,58.94,2.63
Jowar,68.32,77.07,100.89,5.46,565.81,30.7,45.21,2.92
Jowar,92.34,70.31,56.98,6.37,724.17,34.35,48.11,2.72
Jowar,77.6,43.16,65.35,6.85,663.88,38.99,51.27,2.85
Jowar,129.0,86.29,56.05,5.46,434.13,37.27,58.03,2.23
Jowar,95.02,85.18,79.46,6.51,485.36,33.67,57.14,2.59
Jowar,88.06,45.9,73.55,8.13,404.31,31.36,41.58,2.48
Jowar,168.39,41.44,28.75,5.87,586.34,39.1,58.74,2.52
Jowar,95.59,79.1,38.17,7.91,461.55,39.28,51.51,2.16
Jowar,59.14,45.76,91.74,8.45,419.76,33.44,59.62,2.48
Jowar,173.51,65.55,78.35,5.49,766.56,31.43,59.95,2.75
Jowar,82.14,42.17,50.89,7.37,748.63,39.29,56.33,2.8
Jowar,174.55,67.65,21.81,6.64,410.01,37.24,44.52,2.61
Jowar,155.07,84.38,34.21,4.98,643.13,29.46,58.8,2.29
Jowar,61.9,45.39,116.95,5.62,346.19,39.19,45.62,2.73
Jowar,151.65,38.18,104.41,7.1,748.13,33.2,58.12,2.47
Jowar,130.73,77.11,22.53,6.62,548.61,35.71,43.27,2.43
Jowar,71.16,51.13,65.3,6.81,698.32,38.5,56.41,2.32
Jowar,167.54,65.2,24.66,7.55,394.15,33.62,42.23,2.63
Jowar,170.54,24.4,112.76,5.97,650.13,37.78,56.27,2.28
Jowar,159.89,32.47,32.8,5.74,322.82,28.3,43.04,2.2
Jowar,56.79,21.85,50.11,8.37,459.89,35.95,58.91,2.45
Jowar,127.86,26.08,119.35,8.13,759.24,37.16,50.58,2.38
Jowar,89.15,30.79,97.56,5.2,399.23,30.38,52.45,2.44
Jowar,149.77,44.08,91.91,8.37,393.24,36.72,57.12,2.17
